date,state,election stress, election stressed, election anxiety, election anxious
10/20/16,AK,0,0,0,0
10/21/16,AK,0,0,0,0
10/20/16,AL,0,0,0,0
10/21/16,AL,0,0,0,0
10/20/16,AR,0,0,0,0
10/21/16,AR,0,0,0,0
