,date,state, election anxiety, election anxious, election stressed,election stress
1,2017-01-21,MN,0.0,0.0,0.0,0.0
0,2017-01-20,MO,0.0,0.0,0.0,0.0
1,2017-01-21,MO,0.0,0.0,0.0,0.0
0,2017-01-20,MS,0.0,0.0,0.0,0.0
1,2017-01-21,MS,0.0,0.0,0.0,0.0
0,2017-01-20,MT,0.0,0.0,0.0,0.0
1,2017-01-21,MT,0.0,0.0,0.0,0.0
0,2017-01-20,NC,0.0,0.0,0.0,0.0
1,2017-01-21,NC,0.0,0.0,0.0,0.0
0,2017-01-20,ND,0.0,0.0,0.0,0.0
1,2017-01-21,ND,0.0,0.0,0.0,0.0
0,2017-01-20,NE,0.0,0.0,0.0,0.0
1,2017-01-21,NE,0.0,0.0,0.0,0.0
0,2017-01-20,NH,0.0,0.0,0.0,0.0
1,2017-01-21,NH,0.0,0.0,0.0,0.0
0,2017-01-20,NJ,0.0,0.0,0.0,0.0
1,2017-01-21,NJ,0.0,0.0,0.0,0.0
0,2017-01-20,NM,0.0,0.0,0.0,0.0
1,2017-01-21,NM,0.0,0.0,0.0,0.0
0,2017-01-20,NV,0.0,0.0,0.0,0.0
1,2017-01-21,NV,0.0,0.0,0.0,0.0
0,2017-01-20,NY,0.0,0.0,0.0,0.0
1,2017-01-21,NY,0.0,0.0,0.0,0.0
0,2017-01-20,OH,0.0,0.0,0.0,0.0
1,2017-01-21,OH,0.0,0.0,0.0,0.0
0,2017-01-20,OK,0.0,0.0,0.0,0.0
1,2017-01-21,OK,0.0,0.0,0.0,0.0
0,2017-01-20,OR,0.0,0.0,0.0,182.0780331689452
1,2017-01-21,OR,0.0,0.0,0.0,0.0
0,2017-01-20,PA,0.0,0.0,0.0,0.0
1,2017-01-21,PA,0.0,0.0,0.0,0.0
0,2017-01-20,RI,0.0,0.0,0.0,0.0
1,2017-01-21,RI,0.0,0.0,0.0,0.0
0,2017-01-20,SC,0.0,0.0,0.0,0.0
1,2017-01-21,SC,0.0,0.0,0.0,0.0
0,2017-01-20,SD,0.0,0.0,0.0,0.0
1,2017-01-21,SD,0.0,0.0,0.0,0.0
0,2017-01-20,TN,0.0,0.0,0.0,0.0
1,2017-01-21,TN,0.0,0.0,0.0,0.0
0,2017-01-20,TX,0.0,0.0,0.0,0.0
1,2017-01-21,TX,0.0,0.0,0.0,0.0
0,2017-01-20,UT,0.0,0.0,0.0,0.0
1,2017-01-21,UT,0.0,0.0,0.0,0.0
0,2017-01-20,VA,0.0,0.0,0.0,0.0
1,2017-01-21,VA,0.0,0.0,0.0,0.0
0,2017-01-20,VT,0.0,0.0,0.0,0.0
1,2017-01-21,VT,0.0,0.0,0.0,0.0
0,2017-01-20,WA,0.0,0.0,0.0,0.0
1,2017-01-21,WA,0.0,0.0,0.0,0.0
0,2017-01-20,WI,0.0,0.0,0.0,0.0
1,2017-01-21,WI,0.0,0.0,0.0,0.0
0,2017-01-20,WV,0.0,0.0,0.0,0.0
1,2017-01-21,WV,0.0,0.0,0.0,0.0
0,2017-01-20,WY,0.0,0.0,0.0,0.0
1,2017-01-21,WY,0.0,0.0,0.0,0.0
